workload,mode,mean_ms
0us_overhead,fused,0.07
100us_fold-heavy,fused,243.33
100us_graph-heavy,fused,241.01
100us_large500,fused,1435.81
10us_light,fused,20.15
1ms_heavy,fused,3072.09
200us_balanced,fused,531.33
200us_deep,fused,68.59
200us_io,fused,190.40
0us_overhead,rayon,0.27
100us_fold-heavy,rayon,69.56
100us_graph-heavy,rayon,64.37
100us_large500,rayon,327.86
10us_light,rayon,8.25
1ms_heavy,rayon,911.97
200us_balanced,rayon,175.58
200us_deep,rayon,43.96
200us_io,rayon,50.82
0us_overhead,uio+fused,0.55
100us_fold-heavy,uio+fused,265.41
100us_graph-heavy,uio+fused,230.92
100us_large500,uio+fused,1441.27
10us_light,uio+fused,23.08
1ms_heavy,uio+fused,4676.33
200us_balanced,uio+fused,562.34
200us_deep,uio+fused,66.21
200us_io,uio+fused,206.46
0us_overhead,uio+rayon,0.72
100us_fold-heavy,uio+rayon,72.90
100us_graph-heavy,uio+rayon,66.05
100us_large500,uio+rayon,304.92
10us_light,uio+rayon,8.26
1ms_heavy,uio+rayon,1072.72
200us_balanced,uio+rayon,238.79
200us_deep,uio+rayon,51.64
200us_io,uio+rayon,48.16
