workload,mode,mean_ms
aggr_sm,hand.pool,34.19
bal_sm,hand.pool,49.12
deep_sm,hand.pool,15.69
fin_sm,hand.pool,22.82
graph-hv_sm,hand.pool,49.82
graph-io_sm,hand.pool,30.08
hash_sm,hand.pool,2.71
io_sm,hand.pool,15.49
lg-dense_sm,hand.pool,45.08
noop_sm,hand.pool,0.04
parse-hv_sm,hand.pool,62.75
parse-lt_sm,hand.pool,15.50
wide_sm,hand.pool,28.51
xform_sm,hand.pool,26.88
aggr_sm,hand.rayon,20.45
bal_sm,hand.rayon,32.55
deep_sm,hand.rayon,14.01
fin_sm,hand.rayon,14.80
graph-hv_sm,hand.rayon,29.20
graph-io_sm,hand.rayon,18.99
hash_sm,hand.rayon,1.92
io_sm,hand.rayon,9.84
lg-dense_sm,hand.rayon,40.60
noop_sm,hand.rayon,0.04
parse-hv_sm,hand.rayon,35.73
parse-lt_sm,hand.rayon,11.93
wide_sm,hand.rayon,15.36
xform_sm,hand.rayon,22.31
aggr_sm,hylic.fused_par.shared,38.23
bal_sm,hylic.fused_par.shared,48.80
deep_sm,hylic.fused_par.shared,54.02
fin_sm,hylic.fused_par.shared,21.62
hash_sm,hylic.fused_par.shared,2.72
io_sm,hylic.fused_par.shared,15.41
lg-dense_sm,hylic.fused_par.shared,47.49
noop_sm,hylic.fused_par.shared,0.15
parse-hv_sm,hylic.fused_par.shared,56.28
parse-lt_sm,hylic.fused_par.shared,16.07
wide_sm,hylic.fused_par.shared,21.71
xform_sm,hylic.fused_par.shared,25.79
aggr_sm,hylic.hylo.shared,24.22
bal_sm,hylic.hylo.shared,37.21
deep_sm,hylic.hylo.shared,15.70
fin_sm,hylic.hylo.shared,18.09
graph-hv_sm,hylic.hylo.shared,38.91
graph-io_sm,hylic.hylo.shared,24.52
hash_sm,hylic.hylo.shared,2.12
io_sm,hylic.hylo.shared,11.62
lg-dense_sm,hylic.hylo.shared,34.99
noop_sm,hylic.hylo.shared,0.14
parse-hv_sm,hylic.hylo.shared,48.55
parse-lt_sm,hylic.hylo.shared,13.16
wide_sm,hylic.hylo.shared,16.79
xform_sm,hylic.hylo.shared,21.40
aggr_sm,hylic.pool.shared,23.37
bal_sm,hylic.pool.shared,37.48
deep_sm,hylic.pool.shared,17.00
fin_sm,hylic.pool.shared,17.75
graph-hv_sm,hylic.pool.shared,41.45
graph-io_sm,hylic.pool.shared,23.92
hash_sm,hylic.pool.shared,2.00
io_sm,hylic.pool.shared,11.55
lg-dense_sm,hylic.pool.shared,41.36
noop_sm,hylic.pool.shared,0.10
parse-hv_sm,hylic.pool.shared,46.21
parse-lt_sm,hylic.pool.shared,13.13
wide_sm,hylic.pool.shared,15.66
xform_sm,hylic.pool.shared,22.05
aggr_sm,hylic.rayon.shared,19.81
bal_sm,hylic.rayon.shared,31.73
deep_sm,hylic.rayon.shared,13.78
fin_sm,hylic.rayon.shared,16.66
graph-hv_sm,hylic.rayon.shared,34.77
graph-io_sm,hylic.rayon.shared,18.31
hash_sm,hylic.rayon.shared,1.99
io_sm,hylic.rayon.shared,9.64
lg-dense_sm,hylic.rayon.shared,34.92
noop_sm,hylic.rayon.shared,0.06
parse-hv_sm,hylic.rayon.shared,39.63
parse-lt_sm,hylic.rayon.shared,11.70
wide_sm,hylic.rayon.shared,14.13
xform_sm,hylic.rayon.shared,19.38
