workload,mode,mean_ms
aggr_sm,hylic-eager+fused,18.57
bal_sm,hylic-eager+fused,56.95
deep_sm,hylic-eager+fused,30.47
hash_sm,hylic-eager+fused,4.24
io_sm,hylic-eager+fused,42.16
lg-dense_sm,hylic-eager+fused,70.79
noop_sm,hylic-eager+fused,0.13
parse-hv_sm,hylic-eager+fused,101.20
parse-lt_sm,hylic-eager+fused,24.40
wide_sm,hylic-eager+fused,28.45
xform_sm,hylic-eager+fused,18.77
aggr_sm,hylic-eager+rayon,17.82
bal_sm,hylic-eager+rayon,19.62
deep_sm,hylic-eager+rayon,10.15
hash_sm,hylic-eager+rayon,1.02
io_sm,hylic-eager+rayon,6.74
lg-dense_sm,hylic-eager+rayon,20.07
noop_sm,hylic-eager+rayon,0.27
parse-hv_sm,hylic-eager+rayon,22.82
parse-lt_sm,hylic-eager+rayon,7.07
wide_sm,hylic-eager+rayon,10.03
xform_sm,hylic-eager+rayon,16.81
aggr_sm,hylic-fused,41.99
bal_sm,hylic-fused,78.17
deep_sm,hylic-fused,30.52
hash_sm,hylic-fused,4.46
io_sm,hylic-fused,41.99
lg-dense_sm,hylic-fused,78.38
noop_sm,hylic-fused,0.00
parse-hv_sm,hylic-fused,109.10
parse-lt_sm,hylic-fused,26.13
wide_sm,hylic-fused,31.29
xform_sm,hylic-fused,52.28
aggr_sm,hylic-parref+fused,16.33
bal_sm,hylic-parref+fused,49.54
deep_sm,hylic-parref+fused,24.97
hash_sm,hylic-parref+fused,4.17
io_sm,hylic-parref+fused,42.32
lg-dense_sm,hylic-parref+fused,64.06
noop_sm,hylic-parref+fused,0.13
parse-hv_sm,hylic-parref+fused,93.17
parse-lt_sm,hylic-parref+fused,24.64
wide_sm,hylic-parref+fused,27.12
xform_sm,hylic-parref+fused,11.88
aggr_sm,hylic-parref+rayon,12.23
bal_sm,hylic-parref+rayon,18.58
deep_sm,hylic-parref+rayon,7.56
hash_sm,hylic-parref+rayon,1.10
io_sm,hylic-parref+rayon,7.64
lg-dense_sm,hylic-parref+rayon,17.13
noop_sm,hylic-parref+rayon,0.12
parse-hv_sm,hylic-parref+rayon,18.55
parse-lt_sm,hylic-parref+rayon,5.52
wide_sm,hylic-parref+rayon,7.14
xform_sm,hylic-parref+rayon,10.15
aggr_sm,hylic-rayon,12.36
bal_sm,hylic-rayon,16.61
deep_sm,hylic-rayon,5.83
hash_sm,hylic-rayon,1.08
io_sm,hylic-rayon,6.34
lg-dense_sm,hylic-rayon,13.25
noop_sm,hylic-rayon,0.06
parse-hv_sm,hylic-rayon,20.57
parse-lt_sm,hylic-rayon,6.21
wide_sm,hylic-rayon,8.19
xform_sm,hylic-rayon,7.93
