workload,mode,mean_ms
bal_sm,funnel.pw.arrive,46.74
deep_sm,funnel.pw.arrive,19.20
graph-hv_sm,funnel.pw.arrive,47.47
lg-dense_sm,funnel.pw.arrive,39.81
noop_sm,funnel.pw.arrive,0.09
parse-hv_sm,funnel.pw.arrive,56.62
wide_sm,funnel.pw.arrive,21.38
bal_sm,funnel.pw.final,45.54
deep_sm,funnel.pw.final,19.31
graph-hv_sm,funnel.pw.final,48.18
lg-dense_sm,funnel.pw.final,39.49
noop_sm,funnel.pw.final,0.09
parse-hv_sm,funnel.pw.final,58.52
wide_sm,funnel.pw.final,19.56
bal_sm,funnel.sh.arrive,47.93
deep_sm,funnel.sh.arrive,19.18
graph-hv_sm,funnel.sh.arrive,48.24
lg-dense_sm,funnel.sh.arrive,40.18
noop_sm,funnel.sh.arrive,0.15
parse-hv_sm,funnel.sh.arrive,57.09
wide_sm,funnel.sh.arrive,19.51
bal_sm,funnel.sh.final,45.33
deep_sm,funnel.sh.final,18.89
graph-hv_sm,funnel.sh.final,46.69
lg-dense_sm,funnel.sh.final,38.54
noop_sm,funnel.sh.final,0.14
parse-hv_sm,funnel.sh.final,56.65
wide_sm,funnel.sh.final,19.49
bal_sm,hand.rayon,49.92
deep_sm,hand.rayon,20.85
graph-hv_sm,hand.rayon,50.65
lg-dense_sm,hand.rayon,43.39
noop_sm,hand.rayon,0.08
parse-hv_sm,hand.rayon,58.84
wide_sm,hand.rayon,24.65
bal_sm,hylo,44.26
deep_sm,hylo,17.53
graph-hv_sm,hylo,42.97
lg-dense_sm,hylo,36.87
noop_sm,hylo,0.35
parse-hv_sm,hylo,52.77
wide_sm,hylo,17.85
bal_sm,rayon,47.91
deep_sm,rayon,20.59
graph-hv_sm,rayon,53.35
lg-dense_sm,rayon,43.13
noop_sm,rayon,0.09
parse-hv_sm,rayon,59.21
wide_sm,rayon,23.26
