workload,mode,mean_ms
aggr_sm,funnel.pw.arrv.batch,12.55
bal_sm,funnel.pw.arrv.batch,18.81
deep_sm,funnel.pw.arrv.batch,7.18
fin_sm,funnel.pw.arrv.batch,8.56
graph-hv_sm,funnel.pw.arrv.batch,19.89
graph-io_sm,funnel.pw.arrv.batch,12.85
hash_sm,funnel.pw.arrv.batch,0.96
io_sm,funnel.pw.arrv.batch,6.16
lg-dense_sm,funnel.pw.arrv.batch,16.37
noop_sm,funnel.pw.arrv.batch,0.05
parse-hv_sm,funnel.pw.arrv.batch,19.74
parse-lt_sm,funnel.pw.arrv.batch,6.10
wide_sm,funnel.pw.arrv.batch,8.27
xform_sm,funnel.pw.arrv.batch,9.59
aggr_sm,funnel.pw.arrv.k2,12.82
bal_sm,funnel.pw.arrv.k2,18.51
deep_sm,funnel.pw.arrv.k2,7.18
fin_sm,funnel.pw.arrv.k2,8.56
graph-hv_sm,funnel.pw.arrv.k2,17.90
graph-io_sm,funnel.pw.arrv.k2,12.06
hash_sm,funnel.pw.arrv.k2,0.95
io_sm,funnel.pw.arrv.k2,6.00
lg-dense_sm,funnel.pw.arrv.k2,16.37
noop_sm,funnel.pw.arrv.k2,0.05
parse-hv_sm,funnel.pw.arrv.k2,22.08
parse-lt_sm,funnel.pw.arrv.k2,5.99
wide_sm,funnel.pw.arrv.k2,6.76
xform_sm,funnel.pw.arrv.k2,9.89
aggr_sm,funnel.pw.arrv.k4,14.21
bal_sm,funnel.pw.arrv.k4,18.61
deep_sm,funnel.pw.arrv.k4,7.18
fin_sm,funnel.pw.arrv.k4,8.55
graph-hv_sm,funnel.pw.arrv.k4,20.44
graph-io_sm,funnel.pw.arrv.k4,12.27
hash_sm,funnel.pw.arrv.k4,0.94
io_sm,funnel.pw.arrv.k4,6.02
lg-dense_sm,funnel.pw.arrv.k4,16.29
noop_sm,funnel.pw.arrv.k4,0.04
parse-hv_sm,funnel.pw.arrv.k4,22.37
parse-lt_sm,funnel.pw.arrv.k4,6.05
wide_sm,funnel.pw.arrv.k4,7.04
xform_sm,funnel.pw.arrv.k4,9.87
aggr_sm,funnel.pw.arrv.push,12.47
bal_sm,funnel.pw.arrv.push,18.25
deep_sm,funnel.pw.arrv.push,7.18
fin_sm,funnel.pw.arrv.push,8.54
graph-hv_sm,funnel.pw.arrv.push,18.03
graph-io_sm,funnel.pw.arrv.push,11.38
hash_sm,funnel.pw.arrv.push,0.96
io_sm,funnel.pw.arrv.push,5.81
lg-dense_sm,funnel.pw.arrv.push,16.23
