workload,mode,mean_ms
large-dense_fast,funnel.pw.arrv,0.94
large-dense_slow,funnel.pw.arrv,18.10
large-sparse_fast,funnel.pw.arrv,0.94
large-sparse_slow,funnel.pw.arrv,18.52
small-dense_fast,funnel.pw.arrv,0.30
small-dense_slow,funnel.pw.arrv,5.25
small-sparse_fast,funnel.pw.arrv,0.31
small-sparse_slow,funnel.pw.arrv,5.51
large-dense_fast,funnel.pw.arrv.batch,0.95
large-dense_slow,funnel.pw.arrv.batch,18.67
large-sparse_fast,funnel.pw.arrv.batch,0.94
large-sparse_slow,funnel.pw.arrv.batch,18.90
small-dense_fast,funnel.pw.arrv.batch,0.36
small-dense_slow,funnel.pw.arrv.batch,6.78
small-sparse_fast,funnel.pw.arrv.batch,0.31
small-sparse_slow,funnel.pw.arrv.batch,5.78
large-dense_fast,funnel.pw.arrv.k2,0.93
large-dense_slow,funnel.pw.arrv.k2,18.23
large-sparse_fast,funnel.pw.arrv.k2,0.94
large-sparse_slow,funnel.pw.arrv.k2,18.49
small-dense_fast,funnel.pw.arrv.k2,0.30
small-dense_slow,funnel.pw.arrv.k2,5.36
small-sparse_fast,funnel.pw.arrv.k2,0.31
small-sparse_slow,funnel.pw.arrv.k2,5.45
large-dense_fast,funnel.pw.arrv.k4,0.93
large-dense_slow,funnel.pw.arrv.k4,18.40
large-sparse_fast,funnel.pw.arrv.k4,0.96
large-sparse_slow,funnel.pw.arrv.k4,18.84
small-dense_fast,funnel.pw.arrv.k4,0.31
small-dense_slow,funnel.pw.arrv.k4,5.15
small-sparse_fast,funnel.pw.arrv.k4,0.29
small-sparse_slow,funnel.pw.arrv.k4,5.78
large-dense_fast,funnel.pw.fin,0.95
large-dense_slow,funnel.pw.fin,18.16
large-sparse_fast,funnel.pw.fin,0.94
large-sparse_slow,funnel.pw.fin,18.18
small-dense_fast,funnel.pw.fin,0.30
small-dense_slow,funnel.pw.fin,4.86
small-sparse_fast,funnel.pw.fin,0.31
small-sparse_slow,funnel.pw.fin,5.80
large-dense_fast,funnel.pw.fin.batch,0.96
large-dense_slow,funnel.pw.fin.batch,18.55
large-sparse_fast,funnel.pw.fin.batch,0.93
large-sparse_slow,funnel.pw.fin.batch,18.90
small-dense_fast,funnel.pw.fin.batch,0.38
small-dense_slow,funnel.pw.fin.batch,6.83
small-sparse_fast,funnel.pw.fin.batch,0.31
small-sparse_slow,funnel.pw.fin.batch,5.82
large-dense_fast,funnel.pw.fin.k2,0.95
large-dense_slow,funnel.pw.fin.k2,18.38
large-sparse_fast,funnel.pw.fin.k2,0.94
large-sparse_slow,funnel.pw.fin.k2,18.12
small-dense_fast,funnel.pw.fin.k2,0.30
small-dense_slow,funnel.pw.fin.k2,5.22
small-sparse_fast,funnel.pw.fin.k2,0.30
small-sparse_slow,funnel.pw.fin.k2,5.80
large-dense_fast,funnel.pw.fin.k4,0.95
large-dense_slow,funnel.pw.fin.k4,17.83
large-sparse_fast,funnel.pw.fin.k4,0.95
large-sparse_slow,funnel.pw.fin.k4,18.78
small-dense_fast,funnel.pw.fin.k4,0.29
small-dense_slow,funnel.pw.fin.k4,5.41
small-sparse_fast,funnel.pw.fin.k4,0.32
small-sparse_slow,funnel.pw.fin.k4,5.80
large-dense_fast,funnel.sh.arrv,0.93
large-dense_slow,funnel.sh.arrv,17.91
large-sparse_fast,funnel.sh.arrv,0.94
large-sparse_slow,funnel.sh.arrv,18.42
small-dense_fast,funnel.sh.arrv,0.29
small-dense_slow,funnel.sh.arrv,5.16
small-sparse_fast,funnel.sh.arrv,0.28
small-sparse_slow,funnel.sh.arrv,5.12
large-dense_fast,funnel.sh.arrv.batch,0.94
large-dense_slow,funnel.sh.arrv.batch,18.62
large-sparse_fast,funnel.sh.arrv.batch,0.91
large-sparse_slow,funnel.sh.arrv.batch,18.86
small-dense_fast,funnel.sh.arrv.batch,0.33
small-dense_slow,funnel.sh.arrv.batch,6.23
small-sparse_fast,funnel.sh.arrv.batch,0.31
small-sparse_slow,funnel.sh.arrv.batch,5.75
large-dense_fast,funnel.sh.arrv.k2,0.92
large-dense_slow,funnel.sh.arrv.k2,18.19
large-sparse_fast,funnel.sh.arrv.k2,0.94
large-sparse_slow,funnel.sh.arrv.k2,17.94
small-dense_fast,funnel.sh.arrv.k2,0.29
small-dense_slow,funnel.sh.arrv.k2,5.30
small-sparse_fast,funnel.sh.arrv.k2,0.30
small-sparse_slow,funnel.sh.arrv.k2,5.08
large-dense_fast,funnel.sh.arrv.k4,0.92
large-dense_slow,funnel.sh.arrv.k4,18.37
large-sparse_fast,funnel.sh.arrv.k4,0.97
large-sparse_slow,funnel.sh.arrv.k4,18.73
small-dense_fast,funnel.sh.arrv.k4,0.29
small-dense_slow,funnel.sh.arrv.k4,5.35
small-sparse_fast,funnel.sh.arrv.k4,0.31
small-sparse_slow,funnel.sh.arrv.k4,5.75
large-dense_fast,funnel.sh.fin,0.95
large-dense_slow,funnel.sh.fin,18.17
large-sparse_fast,funnel.sh.fin,0.94
large-sparse_slow,funnel.sh.fin,18.44
small-dense_fast,funnel.sh.fin,0.30
small-dense_slow,funnel.sh.fin,5.32
small-sparse_fast,funnel.sh.fin,0.30
small-sparse_slow,funnel.sh.fin,5.43
large-dense_fast,funnel.sh.fin.batch,0.96
large-dense_slow,funnel.sh.fin.batch,18.22
large-sparse_fast,funnel.sh.fin.batch,0.93
large-sparse_slow,funnel.sh.fin.batch,18.36
small-dense_fast,funnel.sh.fin.batch,0.34
small-dense_slow,funnel.sh.fin.batch,6.32
small-sparse_fast,funnel.sh.fin.batch,0.31
small-sparse_slow,funnel.sh.fin.batch,5.78
large-dense_fast,funnel.sh.fin.k2,0.95
large-dense_slow,funnel.sh.fin.k2,18.26
large-sparse_fast,funnel.sh.fin.k2,0.94
large-sparse_slow,funnel.sh.fin.k2,18.46
small-dense_fast,funnel.sh.fin.k2,0.29
small-dense_slow,funnel.sh.fin.k2,5.38
small-sparse_fast,funnel.sh.fin.k2,0.30
small-sparse_slow,funnel.sh.fin.k2,5.43
large-dense_fast,funnel.sh.fin.k4,0.94
large-dense_slow,funnel.sh.fin.k4,18.50
large-sparse_fast,funnel.sh.fin.k4,0.97
large-sparse_slow,funnel.sh.fin.k4,18.78
small-dense_fast,funnel.sh.fin.k4,0.31
small-dense_slow,funnel.sh.fin.k4,5.43
small-sparse_fast,funnel.sh.fin.k4,0.31
small-sparse_slow,funnel.sh.fin.k4,5.57
large-dense_fast,rayon,0.94
large-dense_slow,rayon,17.95
large-sparse_fast,rayon,0.92
large-sparse_slow,rayon,18.26
small-dense_fast,rayon,0.33
small-dense_slow,rayon,5.38
small-sparse_fast,rayon,0.33
small-sparse_slow,rayon,5.91
large-dense_fast,sheque,0.96
large-dense_slow,sheque,18.05
large-sparse_fast,sheque,0.91
large-sparse_slow,sheque,18.25
small-dense_fast,sheque,0.29
small-dense_slow,sheque,5.20
small-sparse_fast,sheque,0.30
small-sparse_slow,sheque,5.37
large-dense_fast,vanilla.rayon,0.84
large-dense_slow,vanilla.rayon,16.29
large-sparse_fast,vanilla.rayon,0.86
large-sparse_slow,vanilla.rayon,17.71
small-dense_fast,vanilla.rayon,0.29
small-dense_slow,vanilla.rayon,4.97
small-sparse_fast,vanilla.rayon,0.31
small-sparse_slow,vanilla.rayon,5.37
