workload,mode,mean_ms
large-dense_fast,hylic-eager+fused,5.33
large-dense_slow,hylic-eager+fused,112.55
large-sparse_fast,hylic-eager+fused,5.11
large-sparse_slow,hylic-eager+fused,112.27
small-dense_fast,hylic-eager+fused,1.31
small-dense_slow,hylic-eager+fused,27.67
small-sparse_fast,hylic-eager+fused,1.07
small-sparse_slow,hylic-eager+fused,28.29
large-dense_fast,hylic-eager+rayon,1.78
large-dense_slow,hylic-eager+rayon,19.67
large-sparse_fast,hylic-eager+rayon,1.65
large-sparse_slow,hylic-eager+rayon,26.53
small-dense_fast,hylic-eager+rayon,0.53
small-dense_slow,hylic-eager+rayon,7.13
small-sparse_fast,hylic-eager+rayon,0.46
small-sparse_slow,hylic-eager+rayon,5.99
large-dense_fast,hylic-fused,5.25
large-dense_slow,hylic-fused,100.70
large-sparse_fast,hylic-fused,4.26
large-sparse_slow,hylic-fused,108.44
small-dense_fast,hylic-fused,1.28
small-dense_slow,hylic-fused,29.01
small-sparse_fast,hylic-fused,1.29
small-sparse_slow,hylic-fused,29.26
large-dense_fast,hylic-parref+fused,4.39
large-dense_slow,hylic-parref+fused,109.69
large-sparse_fast,hylic-parref+fused,4.89
large-sparse_slow,hylic-parref+fused,99.31
small-dense_fast,hylic-parref+fused,1.10
small-dense_slow,hylic-parref+fused,25.28
small-sparse_fast,hylic-parref+fused,1.32
small-sparse_slow,hylic-parref+fused,25.68
large-dense_fast,hylic-parref+rayon,1.69
large-dense_slow,hylic-parref+rayon,25.69
large-sparse_fast,hylic-parref+rayon,1.66
large-sparse_slow,hylic-parref+rayon,21.27
small-dense_fast,hylic-parref+rayon,0.50
small-dense_slow,hylic-parref+rayon,7.25
small-sparse_fast,hylic-parref+rayon,0.57
small-sparse_slow,hylic-parref+rayon,7.91
large-dense_fast,hylic-rayon,1.15
large-dense_slow,hylic-rayon,21.00
large-sparse_fast,hylic-rayon,1.18
large-sparse_slow,hylic-rayon,23.18
small-dense_fast,hylic-rayon,0.33
small-dense_slow,hylic-rayon,5.67
small-sparse_fast,hylic-rayon,0.51
small-sparse_slow,hylic-rayon,5.96
large-dense_fast,vanilla-rayon,1.34
large-dense_slow,vanilla-rayon,18.07
large-sparse_fast,vanilla-rayon,1.02
large-sparse_slow,vanilla-rayon,23.88
small-dense_fast,vanilla-rayon,0.48
small-dense_slow,vanilla-rayon,6.98
small-sparse_fast,vanilla-rayon,0.42
small-sparse_slow,vanilla-rayon,7.44
large-dense_fast,vanilla-seq,4.96
large-dense_slow,vanilla-seq,112.68
large-sparse_fast,vanilla-seq,5.15
large-sparse_slow,vanilla-seq,110.57
small-dense_fast,vanilla-seq,1.24
small-dense_slow,vanilla-seq,25.49
small-sparse_fast,vanilla-seq,1.10
small-sparse_slow,vanilla-seq,28.03
