workload,mode,mean_ms
aggr_sm,fused,54.70
bal_sm,fused,104.06
deep_sm,fused,34.68
fin_sm,fused,51.47
graph-hv_sm,fused,97.73
graph-io_sm,fused,114.06
hash_sm,fused,5.11
io_sm,fused,42.42
lg-dense_sm,fused,80.61
noop_sm,fused,0.00
parse-hv_sm,fused,131.05
parse-lt_sm,fused,34.26
wide_sm,fused,33.47
xform_sm,fused,51.75
aggr_sm,hand.seq,52.96
bal_sm,hand.seq,101.65
deep_sm,hand.seq,34.83
fin_sm,hand.seq,52.72
graph-hv_sm,hand.seq,115.99
graph-io_sm,hand.seq,86.00
hash_sm,hand.seq,5.45
io_sm,hand.seq,42.46
lg-dense_sm,hand.seq,86.31
noop_sm,hand.seq,0.00
parse-hv_sm,hand.seq,130.42
parse-lt_sm,hand.seq,34.08
wide_sm,hand.seq,34.52
xform_sm,hand.seq,57.00
aggr_sm,real.seq,58.74
bal_sm,real.seq,86.24
deep_sm,real.seq,33.42
fin_sm,real.seq,51.58
graph-hv_sm,real.seq,208.81
graph-io_sm,real.seq,77.54
hash_sm,real.seq,4.77
io_sm,real.seq,42.13
lg-dense_sm,real.seq,89.78
noop_sm,real.seq,0.01
parse-hv_sm,real.seq,126.50
parse-lt_sm,real.seq,32.86
wide_sm,real.seq,36.35
xform_sm,real.seq,58.56
