workload,mode,mean_ms
aggr_sm,hand.pool,16.57
bal_sm,hand.pool,27.38
deep_sm,hand.pool,12.36
fin_sm,hand.pool,15.36
hash_sm,hand.pool,1.82
io_sm,hand.pool,11.00
lg-dense_sm,hand.pool,29.02
noop_sm,hand.pool,0.10
parse-hv_sm,hand.pool,42.00
parse-lt_sm,hand.pool,10.26
wide_sm,hand.pool,11.55
xform_sm,hand.pool,17.02
aggr_sm,hand.rayon,14.70
bal_sm,hand.rayon,16.59
deep_sm,hand.rayon,8.79
fin_sm,hand.rayon,12.70
hash_sm,hand.rayon,1.76
io_sm,hand.rayon,7.35
lg-dense_sm,hand.rayon,18.82
noop_sm,hand.rayon,0.03
parse-hv_sm,hand.rayon,32.74
parse-lt_sm,hand.rayon,7.79
wide_sm,hand.rayon,7.32
xform_sm,hand.rayon,12.69
aggr_sm,hylic.eager.fused.shared,20.55
bal_sm,hylic.eager.fused.shared,51.67
deep_sm,hylic.eager.fused.shared,28.23
fin_sm,hylic.eager.fused.shared,14.53
hash_sm,hylic.eager.fused.shared,4.35
io_sm,hylic.eager.fused.shared,42.41
lg-dense_sm,hylic.eager.fused.shared,73.94
noop_sm,hylic.eager.fused.shared,0.35
parse-hv_sm,hylic.eager.fused.shared,116.39
parse-lt_sm,hylic.eager.fused.shared,28.28
wide_sm,hylic.eager.fused.shared,30.05
xform_sm,hylic.eager.fused.shared,15.91
aggr_sm,hylic.eager.pool.shared,20.11
bal_sm,hylic.eager.pool.shared,30.52
deep_sm,hylic.eager.pool.shared,11.69
fin_sm,hylic.eager.pool.shared,15.37
hash_sm,hylic.eager.pool.shared,1.81
io_sm,hylic.eager.pool.shared,11.08
lg-dense_sm,hylic.eager.pool.shared,25.33
noop_sm,hylic.eager.pool.shared,0.18
parse-hv_sm,hylic.eager.pool.shared,33.04
parse-lt_sm,hylic.eager.pool.shared,10.31
wide_sm,hylic.eager.pool.shared,12.29
xform_sm,hylic.eager.pool.shared,17.41
aggr_sm,hylic.eager.rayon.shared,18.03
bal_sm,hylic.eager.rayon.shared,24.16
deep_sm,hylic.eager.rayon.shared,9.69
fin_sm,hylic.eager.rayon.shared,14.68
hash_sm,hylic.eager.rayon.shared,1.58
io_sm,hylic.eager.rayon.shared,7.73
lg-dense_sm,hylic.eager.rayon.shared,22.33
noop_sm,hylic.eager.rayon.shared,0.18
parse-hv_sm,hylic.eager.rayon.shared,24.55
parse-lt_sm,hylic.eager.rayon.shared,7.97
wide_sm,hylic.eager.rayon.shared,10.10
xform_sm,hylic.eager.rayon.shared,17.05
aggr_sm,hylic.parref.fused.shared,29.26
bal_sm,hylic.parref.fused.shared,73.23
deep_sm,hylic.parref.fused.shared,30.62
fin_sm,hylic.parref.fused.shared,15.90
hash_sm,hylic.parref.fused.shared,4.84
io_sm,hylic.parref.fused.shared,42.49
lg-dense_sm,hylic.parref.fused.shared,73.75
noop_sm,hylic.parref.fused.shared,0.15
parse-hv_sm,hylic.parref.fused.shared,126.02
parse-lt_sm,hylic.parref.fused.shared,25.30
wide_sm,hylic.parref.fused.shared,28.11
xform_sm,hylic.parref.fused.shared,23.67
aggr_sm,hylic.parref.rayon.shared,30.80
bal_sm,hylic.parref.rayon.shared,37.05
deep_sm,hylic.parref.rayon.shared,9.43
fin_sm,hylic.parref.rayon.shared,14.15
hash_sm,hylic.parref.rayon.shared,1.23
io_sm,hylic.parref.rayon.shared,7.41
lg-dense_sm,hylic.parref.rayon.shared,29.16
noop_sm,hylic.parref.rayon.shared,0.23
parse-hv_sm,hylic.parref.rayon.shared,29.82
parse-lt_sm,hylic.parref.rayon.shared,8.11
wide_sm,hylic.parref.rayon.shared,10.87
xform_sm,hylic.parref.rayon.shared,16.52
aggr_sm,hylic.pool.shared,25.11
bal_sm,hylic.pool.shared,33.55
deep_sm,hylic.pool.shared,12.65
fin_sm,hylic.pool.shared,16.42
hash_sm,hylic.pool.shared,1.65
io_sm,hylic.pool.shared,11.01
lg-dense_sm,hylic.pool.shared,25.67
noop_sm,hylic.pool.shared,0.06
parse-hv_sm,hylic.pool.shared,31.06
parse-lt_sm,hylic.pool.shared,10.01
wide_sm,hylic.pool.shared,12.67
xform_sm,hylic.pool.shared,18.85
aggr_sm,hylic.rayon.shared,14.57
bal_sm,hylic.rayon.shared,17.67
deep_sm,hylic.rayon.shared,8.88
fin_sm,hylic.rayon.shared,10.33
hash_sm,hylic.rayon.shared,1.34
io_sm,hylic.rayon.shared,7.31
lg-dense_sm,hylic.rayon.shared,19.52
noop_sm,hylic.rayon.shared,0.04
parse-hv_sm,hylic.rayon.shared,25.14
parse-lt_sm,hylic.rayon.shared,7.32
wide_sm,hylic.rayon.shared,8.84
xform_sm,hylic.rayon.shared,12.58
aggr_sm,real.rayon,15.99
bal_sm,real.rayon,23.61
deep_sm,real.rayon,9.16
fin_sm,real.rayon,9.08
hash_sm,real.rayon,1.52
io_sm,real.rayon,7.45
lg-dense_sm,real.rayon,21.66
noop_sm,real.rayon,0.03
parse-hv_sm,real.rayon,26.40
parse-lt_sm,real.rayon,7.74
wide_sm,real.rayon,9.37
xform_sm,real.rayon,13.84
