workload,mode,mean_ms
aggr_sm,funnel.pw.arrv.k4,13.92
bal_sm,funnel.pw.arrv.k4,18.71
graph-hv_sm,funnel.pw.arrv.k4,18.81
hash_sm,funnel.pw.arrv.k4,1.04
noop_sm,funnel.pw.arrv.k4,0.05
parse-hv_sm,funnel.pw.arrv.k4,22.06
parse-lt_sm,funnel.pw.arrv.k4,6.22
wide_sm,funnel.pw.arrv.k4,7.39
xform_sm,funnel.pw.arrv.k4,10.20
aggr_sm,funnel.pw.fin.k4,13.03
bal_sm,funnel.pw.fin.k4,18.54
graph-hv_sm,funnel.pw.fin.k4,18.91
hash_sm,funnel.pw.fin.k4,1.05
noop_sm,funnel.pw.fin.k4,0.05
parse-hv_sm,funnel.pw.fin.k4,22.09
parse-lt_sm,funnel.pw.fin.k4,6.24
wide_sm,funnel.pw.fin.k4,7.53
xform_sm,funnel.pw.fin.k4,10.29
aggr_sm,funnel.sh.arrv.k4,15.58
bal_sm,funnel.sh.arrv.k4,18.87
graph-hv_sm,funnel.sh.arrv.k4,18.67
hash_sm,funnel.sh.arrv.k4,1.04
noop_sm,funnel.sh.arrv.k4,0.07
parse-hv_sm,funnel.sh.arrv.k4,22.05
parse-lt_sm,funnel.sh.arrv.k4,6.14
wide_sm,funnel.sh.arrv.k4,7.38
xform_sm,funnel.sh.arrv.k4,10.14
aggr_sm,funnel.sh.fin.k4,12.83
bal_sm,funnel.sh.fin.k4,18.45
graph-hv_sm,funnel.sh.fin.k4,18.71
hash_sm,funnel.sh.fin.k4,1.06
noop_sm,funnel.sh.fin.k4,0.07
parse-hv_sm,funnel.sh.fin.k4,22.03
parse-lt_sm,funnel.sh.fin.k4,6.15
wide_sm,funnel.sh.fin.k4,7.53
xform_sm,funnel.sh.fin.k4,10.16
aggr_sm,real.rayon,13.39
bal_sm,real.rayon,18.84
graph-hv_sm,real.rayon,18.61
hash_sm,real.rayon,1.07
noop_sm,real.rayon,0.03
parse-hv_sm,real.rayon,22.49
parse-lt_sm,real.rayon,6.29
wide_sm,real.rayon,7.93
xform_sm,real.rayon,10.50
