workload,mode,mean_ms
aggr_sm,hand.seq,51.87
bal_sm,hand.seq,82.77
deep_sm,hand.seq,37.75
fin_sm,hand.seq,42.10
hash_sm,hand.seq,4.37
io_sm,hand.seq,42.81
lg-dense_sm,hand.seq,76.27
noop_sm,hand.seq,0.00
parse-hv_sm,hand.seq,113.38
parse-lt_sm,hand.seq,33.55
wide_sm,hand.seq,35.85
xform_sm,hand.seq,51.01
aggr_sm,hylic.fused.local,44.01
bal_sm,hylic.fused.local,92.71
deep_sm,hylic.fused.local,35.89
fin_sm,hylic.fused.local,39.45
hash_sm,hylic.fused.local,4.97
io_sm,hylic.fused.local,42.06
lg-dense_sm,hylic.fused.local,90.93
noop_sm,hylic.fused.local,0.00
parse-hv_sm,hylic.fused.local,114.29
parse-lt_sm,hylic.fused.local,32.46
wide_sm,hylic.fused.local,34.42
xform_sm,hylic.fused.local,51.64
aggr_sm,hylic.fused.owned,46.98
bal_sm,hylic.fused.owned,96.74
deep_sm,hylic.fused.owned,30.78
fin_sm,hylic.fused.owned,47.73
hash_sm,hylic.fused.owned,5.13
io_sm,hylic.fused.owned,42.15
lg-dense_sm,hylic.fused.owned,92.04
noop_sm,hylic.fused.owned,0.00
parse-hv_sm,hylic.fused.owned,126.83
parse-lt_sm,hylic.fused.owned,27.06
wide_sm,hylic.fused.owned,36.07
xform_sm,hylic.fused.owned,52.80
aggr_sm,hylic.fused.shared,54.90
bal_sm,hylic.fused.shared,91.51
deep_sm,hylic.fused.shared,35.74
fin_sm,hylic.fused.shared,38.02
hash_sm,hylic.fused.shared,4.26
io_sm,hylic.fused.shared,42.46
lg-dense_sm,hylic.fused.shared,89.38
noop_sm,hylic.fused.shared,0.00
parse-hv_sm,hylic.fused.shared,103.47
parse-lt_sm,hylic.fused.shared,32.14
wide_sm,hylic.fused.shared,30.76
xform_sm,hylic.fused.shared,49.92
aggr_sm,hylic.sequential.shared,51.31
bal_sm,hylic.sequential.shared,77.81
deep_sm,hylic.sequential.shared,34.43
fin_sm,hylic.sequential.shared,38.51
hash_sm,hylic.sequential.shared,4.23
io_sm,hylic.sequential.shared,42.40
lg-dense_sm,hylic.sequential.shared,91.88
noop_sm,hylic.sequential.shared,0.01
parse-hv_sm,hylic.sequential.shared,104.37
parse-lt_sm,hylic.sequential.shared,30.81
wide_sm,hylic.sequential.shared,35.92
xform_sm,hylic.sequential.shared,51.42
aggr_sm,real.seq,43.51
bal_sm,real.seq,98.16
deep_sm,real.seq,30.89
fin_sm,real.seq,45.81
hash_sm,real.seq,4.97
io_sm,real.seq,42.43
lg-dense_sm,real.seq,80.70
noop_sm,real.seq,0.00
parse-hv_sm,real.seq,126.26
parse-lt_sm,real.seq,33.21
wide_sm,real.seq,36.10
xform_sm,real.seq,52.27
